	D(-1)J	JF	FM	MA	AM	MJ	JJ	JA	AS	SO	ON	ND
1989	 -1.4983	 -1.3659	 -1.3529	 -1.1323	 -1.0260	 -0.9807	 -0.8996	 -0.9084	 -0.6103	 -0.5776	 -0.3039	  0.1586
1990	  0.3750	  0.5756	  0.4474	  0.4386	  0.3252	  0.1368	  0.0241	 -0.0210	  0.2802	  0.3777	  0.3098	  0.5126
1991	  0.4541	  0.3442	  0.5207	  0.6294	  0.8619	  1.0046	  0.7855	  0.5177	  0.7342	  1.2387	  1.3174	  1.3932
1992	  1.6937	  1.5254	  1.5915	  2.0035	  1.8763	  1.6503	  1.3662	  0.7103	  0.4242	  0.7844	  1.1130	  1.2753
1993	  1.3546	  1.4345	  1.2646	  1.4613	  1.6969	  1.5964	  1.2678	  1.0643	  1.0337	  1.0950	  0.9005	  0.6277
1994	  0.6194	  0.3210	  0.3264	  0.6059	  0.7626	  0.7120	  0.7779	  0.8273	  0.8614	  1.2228	  1.1425	  1.0614
1995	  1.1073	  0.8239	  0.6639	  0.8006	  0.6601	  0.4177	  0.2727	  0.0538	 -0.3013	 -0.5878	 -0.6583	 -0.6862
1996	 -0.7335	 -0.6008	 -0.6016	 -0.8988	 -0.9126	 -0.7615	 -0.8645	 -0.7614	 -0.5664	 -0.4255	 -0.2578	 -0.3339
1997	 -0.5103	 -0.5170	 -0.0773	  0.4485	  1.0880	  1.7517	  2.1152	  2.2706	  2.4864	  2.5471	  2.3744	  2.1515
1998	  2.1929	  2.1913	  1.9605	  1.5136	  0.7957	  0.1896	 -0.3256	 -0.4822	 -0.5549	 -0.8739	 -1.2072	 -1.4128
1999	 -1.6512	 -1.7518	 -1.6897	 -1.8881	 -1.8124	 -1.3407	 -1.4149	 -1.2190	 -0.9633	 -1.2383	 -1.5118	 -1.5964
2000	 -1.6282	 -1.8617	 -1.9302	 -1.6709	 -1.4584	 -1.0617	 -0.8374	 -0.7433	 -0.6016	 -0.6897	 -0.9001	 -0.9104
2001	 -1.0566	 -0.9852	 -0.7523	 -0.7780	 -0.6306	 -0.5275	 -0.3401	 -0.2034	 -0.1586	 -0.1629	 -0.3572	 -0.0688
2002	 -0.0558	 -0.4005	 -0.0852	  0.1295	  0.3421	  0.4896	  0.2930	  0.4382	  0.6446	  0.7368	  0.8510	  0.8396
2003	  0.7036	  0.6895	  0.7928	  0.3750	 -0.1257	 -0.0356	  0.2286	  0.2798	  0.3531	  0.4396	  0.5160	  0.3571
2004	  0.2393	  0.0324	 -0.0485	  0.1234	 -0.0568	  0.1306	  0.4069	  0.4583	  0.6892	  0.7515	  0.6373	  0.5882
2005	  0.3774	  0.6100	  0.5199	  0.3117	  0.5224	  0.3544	  0.2657	  0.2947	  0.0571	 -0.5009	 -0.7125	 -0.6769
2006	 -0.8087	 -0.5640	 -0.5443	 -0.7880	 -0.4352	 -0.0532	  0.2388	  0.6695	  0.8489	  1.0389	  1.0945	  0.7138
2007	  0.6124	  0.4017	 -0.0121	 -0.2756	 -0.5302	 -0.7867	 -0.8272	 -0.8105	 -1.1618	 -1.3949	 -1.3543	 -1.5789
2008	 -1.7876	 -1.9113	 -2.0717	 -1.5930	 -0.9932	 -0.7220	 -0.6602	 -0.4578	 -0.3639	 -0.6491	 -1.0503	 -1.2026
2009	 -1.1564	 -1.1292	 -0.9784	 -0.6674	 -0.2616	  0.1834	  0.3669	  0.4059	  0.4712	  0.9590	  1.3835	  1.3067
2010	  1.3843	  1.3775	  1.0730	  0.4218	 -0.4602	 -1.2431	 -1.6245	 -1.7945	 -1.8957	 -2.2380	 -2.3761	 -2.3905
2011	 -2.4070	 -2.1367	 -2.0888	 -1.9803	 -1.5697	 -1.2919	 -1.2786	 -1.2257	 -1.3369	 -1.5284	 -1.5729	 -1.6153
2012	 -1.5466	 -1.0650	 -0.6119	 -0.4703	 -0.3415	 -0.1734	 -0.0275	  0.0106	 -0.2122	 -0.2180	 -0.1301	 -0.0519
2013	 -0.0466	 -0.1971	 -0.4009	 -0.5471	 -0.8167	 -0.9498	 -0.8249	 -0.7003	 -0.6572	 -0.4814	 -0.3699	 -0.4306
2014	 -0.3802	 -0.1759	  0.0708	  0.1949	 -0.0002	  0.0090	  0.0952	  0.2731	  0.2846	  0.2056	  0.3737	  0.4858
2015	  0.5889	  0.7030	  0.7901	  1.2640	  1.5760	  1.8290	  2.0820	  2.3344	  2.6476	  2.7352	  2.4833	  2.3916
2016	  2.2890	  2.1755	  1.8896	  1.5269	  1.2379	  0.6756	  0.4117	  0.1676	 -0.1321	 -0.1485	 -0.0178	  0.0364
2017	  0.0648	  0.1687	  0.1424	  0.3480	  0.3916	  0.1940	  0.1316	 -0.1816	 -0.3546	 -0.4355	 -0.5043	 -0.4653
2018	 -0.6096	 -0.6444	 -0.5701	 -0.5376	 -0.4061	 -0.1841	 -0.1638	 -0.1222	  0.3794	  0.6299	  0.5315	  0.5554
2019	  0.5431	  0.8886	  1.0635	  0.8424	  0.6925	  0.6431	  0.4426	  0.2799	  0.2752	  0.3252	  0.5847	  0.7882
2020	  0.5369	  0.3891	  0.1449	 -0.0277	 -0.1172	 -0.2754	 -0.2751	 -0.5478	 -0.9968	 -1.0581	 -1.0133	 -1.2228
2021	 -1.4860	 -1.3431	 -1.1508	 -0.9354	 -0.8288	 -0.9261	 -1.0878	 -1.1393	 -1.1394	 -1.3644	 -1.5079	 -1.2436
